layout,demo_key,candidate_order,attempt_ordinal,attempt_kind,counts_toward_target,source_steps,raw_action_sha256,float32_label_sha256,decoded_action_sha256,first_contact_action_index,first_contact_time_seconds,first_success_action_index,first_success_time_seconds,failure_stage,accepted,artifact,model_xml,artifact_sha256,model_xml_sha256,executed_command_sequence_exact
2,demo_32,numeric_demo_index_ascending_within_layout,25,formal_candidate,True,190,61117165f30d6c67524de42db9b76be69c1154b6d52701c9fe673bd0ac446ddf,0e8d528900e81012c25aba52cad258b3ad04cd0aeed4902ae80a569bf17d7272,be908fd81d09ac07b7ba85e56ba396fbd52eef7ef6039bd9d5aa6a27c7160e50,101,5.05,159,7.95,success,True,outputs/v1r/sequential_success_demos_2k_quantized_at_source/layout_2_demo_032_attempt_025.npz,outputs/v1r/sequential_success_demos_2k_quantized_at_source/layout_2_demo_032_attempt_025.xml,2235d0f7e4cc51712e432432f9c5a7b22e6e136d3358662b7ce75fef24792044,3abb7fb5e0738347d4db7dcf4172f737696399a5bbfa248c241c55b59ca768fb,True
2,demo_33,numeric_demo_index_ascending_within_layout,26,formal_candidate,True,206,d9482e68850f12fe461406a00d434bca8a5fc99f30d0004863199914e6a0c9c3,e120287f1f946a184c2706a4f733f58afe06644432c7e2c2dced4d1496f1943d,0bb0b33506637dc22ed596c2b0028b51287996600d5c8e4f19b1cc98ef96f2b3,99,4.95,165,8.25,success,True,outputs/v1r/sequential_success_demos_2k_quantized_at_source/layout_2_demo_033_attempt_026.npz,outputs/v1r/sequential_success_demos_2k_quantized_at_source/layout_2_demo_033_attempt_026.xml,162e8ad1f4c3aa1eccd594254d2bae8cff7cfdd0d70ead87f6ed0664b37e9c18,3abb7fb5e0738347d4db7dcf4172f737696399a5bbfa248c241c55b59ca768fb,True
2,demo_52,numeric_demo_index_ascending_within_layout,27,formal_candidate,True,206,89126cdf32ebaad9db9ca435989769cfe5305bb1d78458262daff1c6c63f2985,967a5e852ba2c7c11c0526eeb6ce4d616daa35ef21a255e46225c3564ccac3c0,559a5f521aefbc9291206bdb1b354b3bc3043a7b7fb3f18a226090b3a1719d85,99,4.95,,,contact_without_grasp,False,outputs/v1r/sequential_success_demos_2k_quantized_at_source/layout_2_demo_052_attempt_027.npz,outputs/v1r/sequential_success_demos_2k_quantized_at_source/layout_2_demo_052_attempt_027.xml,975bd267bbe0fb236bcb8860a49e94ad92690305a70c50552bea0f113d49e057,3abb7fb5e0738347d4db7dcf4172f737696399a5bbfa248c241c55b59ca768fb,True
2,demo_59,numeric_demo_index_ascending_within_layout,28,formal_candidate,True,194,97be0e1fa9c0d944a7e412ae80214ea264b171ba01acac713c525a4d65b427bc,908fc7e1ff96566a7d1ea52544db1eb8ba25a437b55e348fbcde9549e8fe9555,5542355b191637a33726e938be1e2389715ec2bafff66b68fa462f8ec1481ea7,100,5.0,161,8.05,success,True,outputs/v1r/sequential_success_demos_2k_quantized_at_source/layout_2_demo_059_attempt_028.npz,outputs/v1r/sequential_success_demos_2k_quantized_at_source/layout_2_demo_059_attempt_028.xml,40ab69444ea23f0642b9a9c70787f5505c91ca1604c831bfcf5233abda8075bf,3abb7fb5e0738347d4db7dcf4172f737696399a5bbfa248c241c55b59ca768fb,True
2,demo_67,numeric_demo_index_ascending_within_layout,29,formal_candidate,True,194,9a8cc766ea4ce08a3270a8aeeef257fa19a0367213716e50297daef3ac7711e0,80588814ed221013b4ddc872183f0b9c86b773edf28e41e2aa770d762c506681,a227117a6442474a6688dc29865ec38a799b126c3b5bee4421e785b10c44e375,99,4.95,,,contact_without_grasp,False,outputs/v1r/sequential_success_demos_2k_quantized_at_source/layout_2_demo_067_attempt_029.npz,outputs/v1r/sequential_success_demos_2k_quantized_at_source/layout_2_demo_067_attempt_029.xml,2ee1c23f3f8e7183ac0b7cfb7d00d295554e3cc362d091ed25f35932064fa5e6,3abb7fb5e0738347d4db7dcf4172f737696399a5bbfa248c241c55b59ca768fb,True
2,demo_72,numeric_demo_index_ascending_within_layout,30,formal_candidate,True,188,bb3ce5b2964008f88e2309be202d640bdf903437a2bfe503b4e6f3fbe466cfd4,2a3cebcac925adad9f2bcdce304841c09463da7e7a50134ae571cd4e4d1333e8,b68e1233a2b7fd658a30c69f4f88122c648ad179bc9f25878d9d273e2312fcd1,98,4.9,,,contact_without_grasp,False,outputs/v1r/sequential_success_demos_2k_quantized_at_source/layout_2_demo_072_attempt_030.npz,outputs/v1r/sequential_success_demos_2k_quantized_at_source/layout_2_demo_072_attempt_030.xml,526de3f5cc749813e47a47ea649beaab092c7eeea4c902eec5e007d87d339e2a,3abb7fb5e0738347d4db7dcf4172f737696399a5bbfa248c241c55b59ca768fb,True
2,demo_73,numeric_demo_index_ascending_within_layout,31,formal_candidate,True,198,037f31b016a54bdb775f6120d90c7287044619bc3870d861f425f45b47dc6cb0,beeb16fcb0c4fb51e2a4277483cd4a3f8c4a155eda5c163e0493f6d68466a4c8,314e75e2305519bdc9a4c1ae29a08d87e83854027b188fc0f84925cbcd824e2d,86,4.3,164,8.2,success,True,outputs/v1r/sequential_success_demos_2k_quantized_at_source/layout_2_demo_073_attempt_031.npz,outputs/v1r/sequential_success_demos_2k_quantized_at_source/layout_2_demo_073_attempt_031.xml,136eb63586043806a7e497960b38dfc66dc5276a1e44b984000944639dcb4c76,3abb7fb5e0738347d4db7dcf4172f737696399a5bbfa248c241c55b59ca768fb,True
3,demo_0,numeric_demo_index_ascending_within_layout,32,formal_candidate,True,188,e9ce32b9643f097b1081303c88ad0a12a37e755580ccc43fe8b210ad9af217ef,57a550c9030f36ba38d805b4fbe0328f485c71f8a6b3150a84c6fcf70fafa838,e0f149d1d0d1ab3a8e630c6f39da6efe3708bffb02e874e23df6f6f2921bc41c,77,3.85,159,7.95,success,True,outputs/v1r/sequential_success_demos_2k_quantized_at_source/layout_3_demo_000_attempt_032.npz,outputs/v1r/sequential_success_demos_2k_quantized_at_source/layout_3_demo_000_attempt_032.xml,d1bbef9b5064b78870e5b93b4cd4af84a67fa36b1f1b151342089139b04f55cb,af0edc8069c72015908def32b95befcda162f3a47bed439f5a91e246c3a1f265,True
3,demo_3,numeric_demo_index_ascending_within_layout,33,formal_candidate,True,199,9ca05060922ece10fb1b10a602e00454ae8afd370ba15fb68d386c6fdcce6cf1,317c56a60aced3d2b02f00d4d6906f884511ddb16be783fdf01e17cc49fae9f7,c8245d1000ae46d96564a0c822381e516b4ca56548130c6d970ea3457b0a13d9,108,5.4,176,8.8,success,True,outputs/v1r/sequential_success_demos_2k_quantized_at_source/layout_3_demo_003_attempt_033.npz,outputs/v1r/sequential_success_demos_2k_quantized_at_source/layout_3_demo_003_attempt_033.xml,b47f21140a38a9e9d8fef8bcfe3470c773dcd931e6d3bb320aeffa8487941c40,af0edc8069c72015908def32b95befcda162f3a47bed439f5a91e246c3a1f265,True
3,demo_5,numeric_demo_index_ascending_within_layout,34,formal_candidate,True,173,f3d458383ab635c983beeabe5b6696e6e914f79f70e1486c7a1bb4327afe2b3e,93536f1e494fbc425e745923285689e95865b622865228391e3d95d45ae05ad0,1cf64824effe5973ad5bbdbd27533c3385b571aa72a02c52e6b5bea29a06b8b4,77,3.85,170,8.5,success,True,outputs/v1r/sequential_success_demos_2k_quantized_at_source/layout_3_demo_005_attempt_034.npz,outputs/v1r/sequential_success_demos_2k_quantized_at_source/layout_3_demo_005_attempt_034.xml,4a9b71c8760f878c27836645f9aeb4ef7e3047fac7d0a9d67de1335d75c7ffc8,af0edc8069c72015908def32b95befcda162f3a47bed439f5a91e246c3a1f265,True
